SOLVED PUZZLE 2^n STACK (relative: row k = 2^(p-1-k))
# = bit set   . = clear   - = no private key in 53125
====================================================================================================

Puzzle: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
 k\P |  1|  2|  3|  4|  5|  6|  7|  8|  9| 10| 11| 12| 13| 14| 15| 16| 17| 18| 19| 20| hits |
  k=  5  hits=33/82  puzzles=[6, 12, 14, 19, 21, 22, 24, 25, 27, 29, 30, 33, 35, 36, 39, 43, 48, 52, 54, 55, 56, 57, 60, 61, 64]...
  k=  6  hits=33/82  puzzles=[12, 13, 17, 18, 19, 20, 22, 23, 29, 30, 31, 34, 37, 39, 43, 46, 49, 50, 51, 52, 61, 64, 67, 68, 70]...
  k=  7  hits=38/82  puzzles=[9, 12, 13, 15, 16, 17, 21, 22, 25, 27, 28, 29, 35, 36, 40, 41, 43, 45, 46, 47, 48, 52, 54, 55, 56]...
  k=  8  hits=42/82  puzzles=[9, 10, 12, 14, 15, 19, 20, 22, 23, 27, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 47, 48, 50]...
  k=  9  hits=23/82  puzzles=[11, 14, 15, 20, 23, 30, 32, 35, 36, 38, 41, 45, 48, 50, 55, 61, 62, 66, 69, 70, 95, 100, 115]
  k= 10  hits=33/82  puzzles=[11, 12, 15, 16, 17, 21, 24, 25, 32, 33, 36, 37, 38, 39, 40, 43, 44, 45, 47, 48, 50, 52, 53, 54, 55]...
  k= 11  hits=34/82  puzzles=[12, 16, 19, 22, 23, 28, 29, 30, 31, 33, 34, 35, 37, 39, 45, 50, 53, 54, 55, 56, 57, 58, 62, 63, 65]...
  k= 12  hits=40/82  puzzles=[21, 23, 24, 25, 26, 31, 34, 35, 36, 37, 39, 40, 42, 44, 45, 47, 49, 51, 52, 53, 54, 55, 56, 58, 59]...
  k= 13  hits=38/82  puzzles=[15, 16, 17, 20, 23, 25, 26, 27, 28, 31, 33, 39, 40, 43, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 58]...
  k= 14  hits=39/82  puzzles=[15, 16, 17, 18, 19, 24, 25, 27, 28, 29, 30, 31, 32, 33, 35, 37, 39, 40, 41, 43, 44, 45, 46, 48, 49]...
  k= 15  hits=33/82  puzzles=[17, 18, 19, 20, 21, 25, 27, 30, 31, 34, 37, 39, 41, 43, 44, 49, 50, 58, 59, 60, 61, 62, 64, 66, 67]...
  k= 16  hits=27/82  puzzles=[17, 19, 21, 23, 26, 28, 29, 31, 32, 37, 38, 48, 49, 54, 56, 57, 59, 60, 63, 66, 67, 75, 95, 100, 115]...
  k= 17  hits=30/82  puzzles=[18, 19, 20, 25, 28, 31, 33, 34, 35, 40, 41, 42, 43, 45, 48, 53, 54, 57, 58, 61, 62, 65, 75, 80, 85]...
  k= 18  hits=32/82  puzzles=[19, 21, 22, 23, 25, 29, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 49, 55, 56, 57, 58, 60, 63, 66, 68]...
  k= 19  hits=34/82  puzzles=[20, 22, 25, 26, 30, 33, 38, 42, 44, 45, 48, 49, 51, 52, 54, 55, 56, 59, 61, 62, 63, 64, 65, 66, 68]...
  k= 20  hits=27/82  puzzles=[22, 26, 27, 28, 29, 31, 37, 38, 40, 41, 46, 50, 54, 55, 58, 63, 64, 65, 68, 69, 80, 90, 100, 105, 110]...
  k= 21  hits=36/82  puzzles=[22, 23, 24, 27, 28, 30, 31, 32, 33, 34, 38, 39, 41, 43, 44, 46, 48, 49, 50, 51, 52, 53, 55, 56, 57]...
  k= 22  hits=30/82  puzzles=[25, 26, 27, 28, 31, 32, 35, 37, 38, 39, 46, 48, 50, 52, 53, 54, 55, 56, 58, 59, 64, 70, 75, 85, 90]...
  k= 23  hits=24/82  puzzles=[26, 30, 37, 40, 41, 42, 44, 47, 48, 49, 50, 53, 54, 55, 59, 60, 61, 63, 64, 66, 68, 69, 125, 130]
  k= 24  hits=23/82  puzzles=[25, 26, 27, 28, 29, 30, 31, 36, 38, 43, 44, 45, 48, 49, 57, 60, 61, 63, 65, 66, 70, 90, 110]
  k= 25  hits=26/82  puzzles=[29, 33, 34, 37, 41, 42, 43, 47, 48, 52, 54, 59, 62, 63, 66, 67, 68, 70, 80, 85, 90, 95, 100, 120, 125]...
  k= 26  hits=30/82  puzzles=[27, 29, 32, 33, 35, 36, 38, 40, 41, 42, 43, 44, 45, 46, 47, 51, 53, 55, 56, 59, 61, 62, 63, 64, 67]...
  k= 27  hits=26/82  puzzles=[29, 30, 37, 38, 40, 43, 51, 54, 55, 56, 58, 59, 61, 62, 63, 65, 66, 69, 70, 85, 95, 100, 105, 120, 125]...
  k= 28  hits=25/82  puzzles=[31, 32, 33, 35, 43, 47, 48, 50, 52, 56, 61, 62, 63, 65, 67, 69, 70, 75, 85, 90, 100, 110, 115, 125, 130]
  k= 29  hits=22/82  puzzles=[31, 32, 33, 34, 35, 36, 37, 39, 41, 48, 51, 52, 54, 55, 58, 64, 80, 95, 110, 120, 125, 130]
  k= 30  hits=33/82  puzzles=[31, 32, 34, 35, 36, 38, 39, 40, 41, 42, 44, 46, 47, 48, 50, 53, 54, 55, 56, 57, 60, 61, 62, 63, 64]...
  k= 31  hits=21/82  puzzles=[34, 36, 38, 39, 40, 42, 44, 45, 46, 50, 53, 57, 63, 64, 66, 67, 70, 100, 110, 120, 125]
  k= 32  hits=28/82  puzzles=[36, 37, 39, 40, 43, 45, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 62, 64, 65, 66, 67, 68, 69, 75, 80]...
  k= 33  hits=26/82  puzzles=[34, 36, 38, 39, 40, 42, 44, 45, 46, 47, 53, 55, 56, 57, 59, 60, 62, 63, 66, 68, 69, 75, 80, 90, 100]...
  k= 34  hits=20/82  puzzles=[41, 42, 43, 45, 47, 48, 49, 50, 52, 53, 54, 59, 64, 69, 95, 105, 110, 115, 120, 125]
  k= 35  hits=24/82  puzzles=[37, 39, 40, 43, 44, 46, 47, 48, 52, 53, 54, 59, 60, 61, 62, 63, 64, 69, 75, 80, 95, 110, 125, 130]
  k= 36  hits=23/82  puzzles=[37, 41, 44, 47, 48, 49, 52, 55, 57, 59, 62, 63, 66, 68, 69, 70, 80, 85, 90, 105, 115, 120, 125]
  k= 37  hits=20/82  puzzles=[40, 41, 46, 49, 50, 54, 55, 56, 58, 61, 68, 69, 70, 80, 85, 90, 110, 120, 125, 130]
  k= 38  hits=18/82  puzzles=[39, 40, 42, 43, 48, 49, 55, 57, 58, 60, 61, 65, 66, 67, 100, 105, 110, 125]
  k= 39  hits=22/82  puzzles=[41, 42, 46, 47, 48, 49, 51, 52, 53, 55, 59, 60, 61, 63, 67, 68, 69, 90, 100, 110, 115, 125]
  k= 40  hits=24/82  puzzles=[41, 42, 44, 48, 49, 50, 52, 53, 55, 56, 57, 61, 63, 64, 65, 66, 69, 75, 80, 90, 110, 115, 125, 130]
  k= 41  hits=24/82  puzzles=[42, 44, 47, 50, 52, 54, 55, 56, 57, 59, 60, 62, 65, 66, 70, 75, 80, 85, 95, 105, 110, 115, 120, 130]
  k= 42  hits=21/82  puzzles=[43, 44, 45, 47, 49, 51, 52, 54, 56, 57, 58, 60, 61, 67, 70, 85, 90, 95, 100, 105, 115]
  k= 43  hits=21/82  puzzles=[44, 46, 47, 48, 50, 51, 53, 54, 56, 59, 61, 63, 64, 65, 66, 69, 75, 95, 100, 110, 130]
  k= 44  hits=17/82  puzzles=[45, 48, 51, 54, 56, 57, 63, 65, 67, 68, 70, 85, 90, 95, 110, 115, 120]
  k= 45  hits=19/82  puzzles=[47, 49, 50, 54, 56, 58, 59, 60, 62, 63, 66, 68, 69, 75, 100, 105, 110, 125, 130]
  k= 46  hits=21/82  puzzles=[48, 49, 51, 52, 53, 55, 56, 57, 58, 59, 60, 61, 62, 63, 66, 68, 85, 105, 110, 115, 130]
  k= 47  hits=20/82  puzzles=[48, 50, 52, 53, 54, 56, 57, 60, 64, 65, 66, 68, 69, 70, 80, 90, 100, 110, 115, 120]
  k= 48  hits=18/82  puzzles=[49, 51, 52, 56, 58, 59, 60, 62, 63, 66, 68, 69, 70, 85, 95, 100, 105, 115]
  k= 49  hits=14/82  puzzles=[52, 53, 56, 61, 63, 67, 68, 69, 95, 100, 105, 110, 120, 130]
  k= 50  hits=13/82  puzzles=[53, 55, 60, 62, 65, 69, 70, 75, 95, 110, 115, 120, 130]
  k= 51  hits=14/82  puzzles=[56, 60, 63, 64, 65, 67, 70, 80, 90, 95, 110, 115, 120, 130]
  k= 52  hits=19/82  puzzles=[54, 55, 56, 57, 58, 59, 60, 61, 62, 66, 67, 80, 85, 95, 100, 110, 115, 120, 130]
  k= 53  hits=11/82  puzzles=[54, 56, 57, 62, 65, 66, 75, 85, 95, 115, 130]
  k= 54  hits=13/82  puzzles=[56, 57, 60, 62, 64, 69, 75, 80, 95, 105, 110, 120, 125]
  k= 55  hits=13/82  puzzles=[56, 59, 60, 62, 66, 68, 69, 70, 80, 85, 90, 105, 115]
  k= 56  hits=12/82  puzzles=[59, 60, 62, 64, 69, 85, 95, 100, 105, 110, 115, 120]
  k= 57  hits=17/82  puzzles=[58, 59, 60, 64, 66, 68, 69, 75, 80, 85, 90, 95, 100, 105, 110, 115, 125]
  k= 58  hits=14/82  puzzles=[59, 60, 61, 62, 65, 66, 67, 69, 70, 75, 90, 100, 105, 125]
  k= 59  hits=15/82  puzzles=[61, 62, 63, 64, 65, 66, 67, 69, 70, 80, 90, 105, 115, 125, 130]
  k= 63  hits=12/82  puzzles=[65, 66, 67, 68, 70, 75, 90, 95, 105, 110, 120, 130]
  k= 64  hits=10/82  puzzles=[65, 66, 67, 70, 75, 80, 90, 110, 115, 130]
  k= 65  hits=13/82  puzzles=[67, 69, 70, 75, 80, 85, 90, 95, 100, 110, 120, 125, 130]

ABSOLUTE BIT STACK P55-P85 (row n = 2^n globally)
  n | 55| 56| 57| 58| 59| 60| 61| 62| 63| 64| 65| 66| 67| 68| 69| 70| 75| 80| 85|
---------------------------------------------------------------------------------
 84 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|
 83 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|
 82 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|
 81 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|
 80 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|
 79 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|
 78 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|
 77 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|
 76 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|
 75 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|
 74 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|
 73 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|
 72 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|
 71 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|
 70 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|
 69 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|  .|
 68 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  .|  #|  .|
 67 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|  .|  #|  #|
 66 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|  #|  #|  .|  #|
 65 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  #|  .|  .|  .|  #|  .|
 64 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  #|  #|  .|  .|  #|  .|  .|
 63 |  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  #|  .|  #|  .|  #|  #|  .|  .|
 62 |  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  .|  .|  .|  #|  .|  .|  #|  #|  #|
 61 |  .|  .|  .|  .|  .|  .|  .|  #|  #|  #|  #|  .|  #|  #|  .|  .|  .|  .|  .|
 60 |  .|  .|  .|  .|  .|  .|  #|  #|  #|  #|  .|  .|  #|  .|  #|  #|  .|  #|  .|
 59 |  .|  .|  .|  .|  .|  #|  .|  .|  #|  .|  #|  .|  .|  #|  #|  #|  #|  #|  #|
 58 |  .|  .|  .|  .|  #|  #|  .|  #|  #|  #|  .|  .|  .|  .|  #|  .|  #|  #|  #|
 57 |  .|  .|  .|  #|  #|  #|  #|  #|  .|  #|  .|  #|  .|  #|  .|  #|  #|  .|  #|
 56 |  .|  .|  #|  .|  #|  #|  #|  .|  .|  #|  .|  #|  .|  #|  #|  #|  .|  .|  #|
 55 |  .|  #|  #|  #|  .|  #|  #|  .|  #|  .|  .|  .|  #|  #|  #|  #|  .|  .|  .|

SHARED OFFSET k BETWEEN p AND p+5 (n mod 5 lane stack)
  P  1+5=P  6  shared k=[0]
  P  2+5=P  7  shared k=[0]
  P  3+5=P  8  shared k=[0, 1, 2]
  P  4+5=P  9  shared k=[0]
  P  5+5=P 10  shared k=[0]
  P  6+5=P 11  shared k=[0]
  P  7+5=P 12  shared k=[0]
  P  8+5=P 13  shared k=[0, 2]
  P  9+5=P 14  shared k=[0, 2, 8]
  P 10+5=P 15  shared k=[0, 8]
  P 11+5=P 16  shared k=[0, 10]
  P 12+5=P 17  shared k=[0, 2, 6, 7, 10]
  P 13+5=P 18  shared k=[0, 6]
  P 14+5=P 19  shared k=[0, 2, 5, 8]
  P 15+5=P 20  shared k=[0, 1, 3, 8, 9, 13]
  P 16+5=P 21  shared k=[0, 1, 4, 7, 10]
  P 17+5=P 22  shared k=[0, 2, 3, 6, 7]
  P 18+5=P 23  shared k=[0, 6]
  P 19+5=P 24  shared k=[0, 4, 5, 14]
  P 20+5=P 25  shared k=[0, 1, 3, 13, 15, 17, 19]
  P 21+5=P 26  shared k=[0, 1, 3, 12, 16]
  P 22+5=P 27  shared k=[0, 3, 5, 7, 8, 20, 21]
  P 23+5=P 28  shared k=[0, 4, 11, 13, 16, 21]
  P 24+5=P 29  shared k=[0, 3, 4, 5, 14]
  P 25+5=P 30  shared k=[0, 1, 2, 3, 5, 14, 15, 18, 19, 24]
  P 26+5=P 31  shared k=[0, 1, 3, 12, 13, 16, 20, 22, 24]
  P 27+5=P 32  shared k=[0, 3, 14, 21, 22, 26]
  P 28+5=P 33  shared k=[0, 1, 3, 11, 13, 14, 17, 21]
  P 29+5=P 34  shared k=[0, 3, 6, 11, 18, 25]
  P 30+5=P 35  shared k=[0, 3, 5, 9, 11, 14]
  P 31+5=P 36  shared k=[0, 3, 4, 8, 12, 24, 29, 30]
  P 32+5=P 37  shared k=[0, 2, 3, 4, 10, 14, 16, 18, 22, 29]
  P 33+5=P 38  shared k=[0, 8, 10, 19, 21, 26]
  P 34+5=P 39  shared k=[0, 3, 6, 8, 11, 12, 15, 21, 29, 30, 31, 33]
  P 35+5=P 40  shared k=[0, 7, 8, 12, 14, 17, 26, 30]
  P 36+5=P 41  shared k=[0, 4, 7, 8, 9, 26, 29, 30]
  P 37+5=P 42  shared k=[0, 2, 4, 8, 12, 18, 23, 25]
  P 38+5=P 43  shared k=[0, 8, 10, 18, 21, 24, 26, 27]
  P 39+5=P 44  shared k=[0, 10, 12, 14, 15, 21, 30, 31, 33, 35]
  P 40+5=P 45  shared k=[0, 7, 10, 12, 13, 14, 17, 26, 31, 32, 33]
  P 41+5=P 46  shared k=[0, 2, 4, 7, 14, 20, 21, 26, 30, 37, 39]
  P 42+5=P 47  shared k=[0, 4, 8, 12, 18, 23, 25, 26, 30, 33, 34, 39, 41]
  P 43+5=P 48  shared k=[0, 5, 7, 8, 10, 13, 14, 17, 21, 24, 25, 28, 34, 35, 38]
  P 44+5=P 49  shared k=[0, 2, 12, 14, 15, 18, 19, 21, 23, 24, 36, 40, 42]
  P 45+5=P 50  shared k=[0, 9, 10, 11, 13, 31, 32, 34]
  P 46+5=P 51  shared k=[0, 2, 4, 6, 13, 14, 21, 26, 39, 43]
  P 47+5=P 52  shared k=[0, 1, 4, 7, 8, 10, 12, 13, 25, 28, 34, 35, 36, 39, 41, 42]
  P 48+5=P 53  shared k=[0, 10, 13, 17, 21, 22, 23, 30, 34, 35, 39, 40, 43, 46, 47]
  P 49+5=P 54  shared k=[0, 4, 12, 14, 16, 19, 23, 32, 34, 37, 42, 45]
  P 50+5=P 55  shared k=[0, 9, 10, 11, 13, 20, 21, 22, 23, 30, 32, 37, 40, 41]
  P 51+5=P 56  shared k=[0, 4, 12, 19, 21, 26, 27, 42, 43, 44, 46, 48]
  P 52+5=P 57  shared k=[0, 1, 2, 5, 7, 8, 14, 21, 32, 36, 40, 41, 42, 46, 47]
  P 53+5=P 58  shared k=[0, 11, 12, 13, 17, 21, 22, 32, 46]
  P 54+5=P 59  shared k=[0, 4, 7, 10, 12, 13, 16, 19, 22, 23, 25, 27, 32, 34, 35, 41, 43, 45, 52]
  P 55+5=P 60  shared k=[0, 1, 3, 5, 13, 18, 23, 30, 33, 38, 39, 41, 46, 50, 52]
  P 56+5=P 61  shared k=[0, 3, 4, 5, 12, 19, 26, 27, 28, 30, 37, 40, 42, 43, 46, 49, 52]
  P 57+5=P 62  shared k=[0, 1, 3, 8, 11, 17, 30, 32, 33, 36, 41, 46, 52, 53, 54]
  P 58+5=P 63  shared k=[0, 2, 3, 7, 8, 11, 12, 13, 18, 20, 21, 27, 45, 46, 48]
  P 59+5=P 64  shared k=[0, 1, 2, 7, 13, 15, 19, 21, 22, 23, 26, 32, 34, 35, 43, 56, 57]
  P 60+5=P 65  shared k=[0, 1, 3, 5, 13, 24, 30, 38, 41, 47, 50, 51, 58]
  P 61+5=P 66  shared k=[0, 9, 12, 14, 15, 19, 23, 24, 27, 30, 38, 40, 43, 46, 52, 58, 59]
  P 62+5=P 67  shared k=[0, 1, 11, 13, 15, 25, 26, 28, 30, 32, 52, 58, 59]
  P 63+5=P 68  shared k=[0, 2, 3, 4, 8, 11, 12, 18, 19, 20, 23, 25, 33, 36, 39, 44, 45, 46, 48, 49]
  P 64+5=P 69  shared k=[0, 13, 19, 20, 23, 26, 30, 32, 34, 35, 40, 43, 47, 54, 56, 57, 59]
  P 65+5=P 70  shared k=[0, 1, 3, 12, 13, 19, 24, 27, 28, 41, 44, 47, 50, 51, 58, 59, 62, 63, 64]
  P 70+5=P 75  shared k=[0, 3, 10, 12, 22, 28, 41, 50, 58, 60, 63, 64, 65]
  P 75+5=P 80  shared k=[0, 4, 11, 12, 17, 26, 32, 33, 35, 40, 41, 54, 57, 60, 64, 65, 72]
  P 80+5=P 85  shared k=[0, 4, 6, 11, 17, 25, 26, 36, 37, 41, 52, 55, 57, 62, 65, 67, 71, 72]
  P 85+5=P 90  shared k=[0, 6, 7, 8, 18, 22, 25, 28, 36, 37, 42, 44, 55, 57, 65, 69, 71, 72, 79, 81]
  P 90+5=P 95  shared k=[0, 2, 8, 18, 22, 25, 42, 44, 51, 57, 63, 65, 71, 72, 79, 81, 82, 86, 87, 88, 89]
  P 95+5=P100  shared k=[0, 2, 5, 9, 11, 13, 16, 17, 18, 19, 25, 27, 42, 43, 48, 49, 52, 56, 57, 60, 65, 71, 72, 73, 79, 82, 88]
  P100+5=P105  shared k=[0, 2, 5, 6, 7, 17, 18, 19, 20, 21, 27, 38, 42, 45, 48, 49, 56, 57, 58, 61, 66, 71, 72, 73, 76, 79, 88, 94, 97, 98]
  P105+5=P110  shared k=[0, 3, 5, 6, 7, 14, 17, 19, 20, 21, 34, 38, 41, 45, 46, 49, 54, 56, 57, 62, 63, 78, 79, 81, 83, 84, 91, 92, 96, 99, 103]
  P110+5=P115  shared k=[0, 1, 7, 15, 28, 34, 39, 40, 41, 44, 46, 47, 50, 51, 52, 56, 57, 64, 74, 83, 84, 92, 99, 103, 107]
  P115+5=P120  shared k=[0, 7, 12, 15, 18, 22, 30, 34, 36, 41, 44, 47, 50, 51, 52, 56, 70, 74, 86, 87, 90, 103, 105, 107, 108]
  P120+5=P125  shared k=[0, 2, 12, 15, 22, 25, 27, 29, 31, 34, 36, 37, 54, 65, 68, 69, 72, 74, 87, 90, 94, 98, 105, 114, 119]
  P125+5=P130  shared k=[0, 1, 6, 8, 11, 12, 15, 16, 19, 20, 23, 25, 27, 28, 29, 35, 37, 40, 45, 59, 65, 68, 74, 87, 90, 92, 93, 94, 98, 105, 111, 112, 121, 122]
